Adsorbent,Pollutant,SA (m2/g),Dav (nm),VTot (cm3/g),C (wt%),O/C,(O+N)/C,pH,T (K),C0 (mg/L),SLR (g/L),Qe (mg/g)
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,7.64457174
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,6.4,5.784574468
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,1.578047264
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,2.277674129
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,1.966728856
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,0.80068408
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.443718905
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,2.899564677
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.065609453
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,2.277674129
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,2.355410448
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,2.277674129
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,2.899564677
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,2.977300995
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.521455224
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.910136816
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.143345771
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,2.044465174
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,2.199937811
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,2.433146766
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,2.821828358
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,1.811256219
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.832400498
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.065609453
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.987873134
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.46907994
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.242835596
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.921568627
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.751131222
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.67571644
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.751131222
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.092006033
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.826546003
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.318250377
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.619909502
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.996983409
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.600301659
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.600301659
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.67571644
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.826546003
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.826546003
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.770739065
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.996983409
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,3.393665158
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.449472097
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.449472097
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.901960784
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.826546003
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.901960784
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,4.558733087
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,4.712484625
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.327490775
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.0199877
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.481242312
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.250615006
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.481242312
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.558118081
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,4.558733087
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.0199877
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,4.866236162
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.096863469
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,4.635608856
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.481242312
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.481242312
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.558118081
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,4.481857319
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,4.635608856
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,4.789360394
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.096863469
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.173739237
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,4.789360394
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.327490775
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.63499385
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.895645029
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,6.511914544
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,6.443440153
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,6.648863325
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,7.059709669
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,7.19665845
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,7.26513284
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,6.169542591
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,6.03259381
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,6.511914544
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,7.059709669
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,6.991235278
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,6.854286497
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,6.854286497
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,7.19665845
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,7.19665845
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,6.306491372
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,6.306491372
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,6.785812106
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,6.922760887
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,6.991235278
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,7.059709669
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,6.580388935
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,7.26513284
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,0.5,4.8,3.513999243
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.653802497
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,2,4.8,4.568671964
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,3,4.8,5.807794173
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,5,4.8,6.772606886
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,7,4.8,8.39954597
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,0.5,4.8,3.419409762
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.370034052
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,2,4.8,4.095724555
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,3,4.8,5.996973137
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,5,4.8,8.569807037
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,7,4.8,8.872493379
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,0.5,4.8,2.946462353
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,4.275444571
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,2,4.8,5.041619372
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,3,4.8,5.713204692
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,5,4.8,7.623912221
PB600,IBF,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,7,4.8,8.39954597
